"Notes"	"State"	"State Code"	"Year"	"Year Code"	"UCD - Injury Intent"	"UCD - Injury Intent Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"2009"	"2009"	"Unintentional"	"1"	2351	4757938	49.4
	"Alabama"	"01"	"2009"	"2009"	"Suicide"	"2"	673	4757938	14.1
	"Alabama"	"01"	"2009"	"2009"	"Homicide"	"3"	412	4757938	8.7
	"Alabama"	"01"	"2009"	"2009"	"Undetermined "	"4"	67	4757938	1.4
	"Alabama"	"01"	"2009"	"2009"	"Non-Injury, no intent classified"	"9"	43961	4757938	924.0
	"Alabama"	"01"	"2010"	"2010"	"Unintentional"	"1"	2394	4779736	50.1
	"Alabama"	"01"	"2010"	"2010"	"Suicide"	"2"	679	4779736	14.2
	"Alabama"	"01"	"2010"	"2010"	"Homicide"	"3"	391	4779736	8.2
	"Alabama"	"01"	"2010"	"2010"	"Undetermined "	"4"	57	4779736	1.2
	"Alabama"	"01"	"2010"	"2010"	"Non-Injury, no intent classified"	"9"	44514	4779736	931.3
	"Alabama"	"01"	"2011"	"2011"	"Unintentional"	"1"	2662	4802740	55.4
	"Alabama"	"01"	"2011"	"2011"	"Suicide"	"2"	654	4802740	13.6
	"Alabama"	"01"	"2011"	"2011"	"Homicide"	"3"	392	4802740	8.2
	"Alabama"	"01"	"2011"	"2011"	"Undetermined "	"4"	61	4802740	1.3
	"Alabama"	"01"	"2011"	"2011"	"Non-Injury, no intent classified"	"9"	44909	4802740	935.1
	"Alabama"	"01"	"2012"	"2012"	"Unintentional"	"1"	2283	4822023	47.3
	"Alabama"	"01"	"2012"	"2012"	"Suicide"	"2"	724	4822023	15.0
	"Alabama"	"01"	"2012"	"2012"	"Homicide"	"3"	405	4822023	8.4
	"Alabama"	"01"	"2012"	"2012"	"Undetermined "	"4"	55	4822023	1.1
	"Alabama"	"01"	"2012"	"2012"	"Non-Injury, no intent classified"	"9"	45831	4822023	950.5
	"Alabama"	"01"	"2013"	"2013"	"Unintentional"	"1"	2329	4833722	48.2
	"Alabama"	"01"	"2013"	"2013"	"Suicide"	"2"	721	4833722	14.9
	"Alabama"	"01"	"2013"	"2013"	"Homicide"	"3"	417	4833722	8.6
	"Alabama"	"01"	"2013"	"2013"	"Undetermined "	"4"	67	4833722	1.4
	"Alabama"	"01"	"2013"	"2013"	"Non-Injury, no intent classified"	"9"	46647	4833722	965.0
	"Alabama"	"01"	"2014"	"2014"	"Unintentional"	"1"	2463	4849377	50.8
	"Alabama"	"01"	"2014"	"2014"	"Suicide"	"2"	715	4849377	14.7
	"Alabama"	"01"	"2014"	"2014"	"Homicide"	"3"	374	4849377	7.7
	"Alabama"	"01"	"2014"	"2014"	"Undetermined "	"4"	67	4849377	1.4
	"Alabama"	"01"	"2014"	"2014"	"Non-Injury, no intent classified"	"9"	46590	4849377	960.7
	"Alabama"	"01"	"2015"	"2015"	"Unintentional"	"1"	2552	4858979	52.5
	"Alabama"	"01"	"2015"	"2015"	"Suicide"	"2"	750	4858979	15.4
	"Alabama"	"01"	"2015"	"2015"	"Homicide"	"3"	473	4858979	9.7
	"Alabama"	"01"	"2015"	"2015"	"Undetermined "	"4"	81	4858979	1.7
	"Alabama"	"01"	"2015"	"2015"	"Non-Injury, no intent classified"	"9"	48048	4858979	988.8
	"Alabama"	"01"	"2016"	"2016"	"Unintentional"	"1"	2755	4863300	56.6
	"Alabama"	"01"	"2016"	"2016"	"Suicide"	"2"	788	4863300	16.2
	"Alabama"	"01"	"2016"	"2016"	"Homicide"	"3"	544	4863300	11.2
	"Alabama"	"01"	"2016"	"2016"	"Undetermined "	"4"	55	4863300	1.1
	"Alabama"	"01"	"2016"	"2016"	"Legal Intervention / Operations of War"	"5"	13	4863300	Unreliable
	"Alabama"	"01"	"2016"	"2016"	"Non-Injury, no intent classified"	"9"	48311	4863300	993.4
	"Alabama"	"01"	"2017"	"2017"	"Unintentional"	"1"	2703	4874747	55.4
	"Alabama"	"01"	"2017"	"2017"	"Suicide"	"2"	836	4874747	17.1
	"Alabama"	"01"	"2017"	"2017"	"Homicide"	"3"	602	4874747	12.3
	"Alabama"	"01"	"2017"	"2017"	"Undetermined "	"4"	67	4874747	1.4
	"Alabama"	"01"	"2017"	"2017"	"Legal Intervention / Operations of War"	"5"	11	4874747	Unreliable
	"Alabama"	"01"	"2017"	"2017"	"Non-Injury, no intent classified"	"9"	49019	4874747	1005.6
	"Alabama"	"01"	"2018"	"2018"	"Unintentional"	"1"	2682	4887871	54.9
	"Alabama"	"01"	"2018"	"2018"	"Suicide"	"2"	823	4887871	16.8
	"Alabama"	"01"	"2018"	"2018"	"Homicide"	"3"	568	4887871	11.6
	"Alabama"	"01"	"2018"	"2018"	"Undetermined "	"4"	75	4887871	1.5
	"Alabama"	"01"	"2018"	"2018"	"Non-Injury, no intent classified"	"9"	50197	4887871	1027.0
	"Alaska"	"02"	"1999"	"1999"	"Unintentional"	"1"	294	624779	47.1
	"Alaska"	"02"	"1999"	"1999"	"Suicide"	"2"	96	624779	15.4
	"Alaska"	"02"	"1999"	"1999"	"Homicide"	"3"	51	624779	8.2
	"Alaska"	"02"	"1999"	"1999"	"Undetermined "	"4"	26	624779	4.2
	"Alaska"	"02"	"1999"	"1999"	"Non-Injury, no intent classified"	"9"	2240	624779	358.5
	"Alaska"	"02"	"2000"	"2000"	"Unintentional"	"1"	343	626932	54.7
	"Alaska"	"02"	"2000"	"2000"	"Suicide"	"2"	137	626932	21.9
	"Alaska"	"02"	"2000"	"2000"	"Homicide"	"3"	37	626932	5.9
	"Alaska"	"02"	"2000"	"2000"	"Undetermined "	"4"	19	626932	Unreliable
	"Alaska"	"02"	"2000"	"2000"	"Non-Injury, no intent classified"	"9"	2377	626932	379.1
	"Alaska"	"02"	"2001"	"2001"	"Unintentional"	"1"	345	633714	54.4
	"Alaska"	"02"	"2001"	"2001"	"Suicide"	"2"	102	633714	16.1
	"Alaska"	"02"	"2001"	"2001"	"Homicide"	"3"	38	633714	6.0
	"Alaska"	"02"	"2001"	"2001"	"Undetermined "	"4"	11	633714	Unreliable
	"Alaska"	"02"	"2001"	"2001"	"Non-Injury, no intent classified"	"9"	2478	633714	391.0
	"Alaska"	"02"	"2002"	"2002"	"Unintentional"	"1"	346	642337	53.9
	"Alaska"	"02"	"2002"	"2002"	"Suicide"	"2"	132	642337	20.5
	"Alaska"	"02"	"2002"	"2002"	"Homicide"	"3"	40	642337	6.2
	"Alaska"	"02"	"2002"	"2002"	"Undetermined "	"4"	17	642337	Unreliable
	"Alaska"	"02"	"2002"	"2002"	"Non-Injury, no intent classified"	"9"	2492	642337	388.0
	"Alaska"	"02"	"2003"	"2003"	"Unintentional"	"1"	321	648414	49.5
	"Alaska"	"02"	"2003"	"2003"	"Suicide"	"2"	124	648414	19.1
	"Alaska"	"02"	"2003"	"2003"	"Homicide"	"3"	47	648414	7.2
	"Alaska"	"02"	"2003"	"2003"	"Undetermined "	"4"	14	648414	Unreliable
	"Alaska"	"02"	"2003"	"2003"	"Non-Injury, no intent classified"	"9"	2674	648414	412.4
	"Alaska"	"02"	"2004"	"2004"	"Unintentional"	"1"	326	659286	49.4
	"Alaska"	"02"	"2004"	"2004"	"Suicide"	"2"	155	659286	23.5
	"Alaska"	"02"	"2004"	"2004"	"Homicide"	"3"	41	659286	6.2
	"Alaska"	"02"	"2004"	"2004"	"Undetermined "	"4"	15	659286	Unreliable
	"Alaska"	"02"	"2004"	"2004"	"Non-Injury, no intent classified"	"9"	2513	659286	381.2
	"Alaska"	"02"	"2005"	"2005"	"Unintentional"	"1"	313	666946	46.9
	"Alaska"	"02"	"2005"	"2005"	"Suicide"	"2"	131	666946	19.6
	"Alaska"	"02"	"2005"	"2005"	"Homicide"	"3"	37	666946	5.5
	"Alaska"	"02"	"2005"	"2005"	"Undetermined "	"4"	17	666946	Unreliable
	"Alaska"	"02"	"2005"	"2005"	"Non-Injury, no intent classified"	"9"	2670	666946	400.3
	"Alaska"	"02"	"2006"	"2006"	"Unintentional"	"1"	316	675302	46.8
	"Alaska"	"02"	"2006"	"2006"	"Suicide"	"2"	135	675302	20.0
	"Alaska"	"02"	"2006"	"2006"	"Homicide"	"3"	43	675302	6.4
	"Alaska"	"02"	"2006"	"2006"	"Undetermined "	"4"	12	675302	Unreliable
	"Alaska"	"02"	"2006"	"2006"	"Non-Injury, no intent classified"	"9"	2848	675302	421.7
	"Alaska"	"02"	"2007"	"2007"	"Unintentional"	"1"	354	680300	52.0
	"Alaska"	"02"	"2007"	"2007"	"Suicide"	"2"	149	680300	21.9
	"Alaska"	"02"	"2007"	"2007"	"Homicide"	"3"	50	680300	7.3
	"Alaska"	"02"	"2007"	"2007"	"Undetermined "	"4"	17	680300	Unreliable
	"Alaska"	"02"	"2007"	"2007"	"Non-Injury, no intent classified"	"9"	2893	680300	425.3
	"Alaska"	"02"	"2008"	"2008"	"Unintentional"	"1"	332	687455	48.3
	"Alaska"	"02"	"2008"	"2008"	"Suicide"	"2"	169	687455	24.6
	"Alaska"	"02"	"2008"	"2008"	"Homicide"	"3"	29	687455	4.2
	"Alaska"	"02"	"2008"	"2008"	"Undetermined "	"4"	43	687455	6.3
	"Alaska"	"02"	"2008"	"2008"	"Non-Injury, no intent classified"	"9"	2918	687455	424.5
	"Alaska"	"02"	"2009"	"2009"	"Unintentional"	"1"	340	698895	48.6
	"Alaska"	"02"	"2009"	"2009"	"Suicide"	"2"	143	698895	20.5
	"Alaska"	"02"	"2009"	"2009"	"Homicide"	"3"	26	698895	3.7
	"Alaska"	"02"	"2009"	"2009"	"Undetermined "	"4"	28	698895	4.0
	"Alaska"	"02"	"2009"	"2009"	"Non-Injury, no intent classified"	"9"	3079	698895	440.6
	"Alaska"	"02"	"2010"	"2010"	"Unintentional"	"1"	366	710231	51.5
	"Alaska"	"02"	"2010"	"2010"	"Suicide"	"2"	164	710231	23.1
	"Alaska"	"02"	"2010"	"2010"	"Homicide"	"3"	44	710231	6.2
	"Alaska"	"02"	"2010"	"2010"	"Undetermined "	"4"	19	710231	Unreliable
	"Alaska"	"02"	"2010"	"2010"	"Non-Injury, no intent classified"	"9"	3134	710231	441.3
	"Alaska"	"02"	"2011"	"2011"	"Unintentional"	"1"	385	722718	53.3
	"Alaska"	"02"	"2011"	"2011"	"Suicide"	"2"	143	722718	19.8
	"Alaska"	"02"	"2011"	"2011"	"Homicide"	"3"	36	722718	5.0
	"Alaska"	"02"	"2011"	"2011"	"Undetermined "	"4"	17	722718	Unreliable
	"Alaska"	"02"	"2011"	"2011"	"Non-Injury, no intent classified"	"9"	3267	722718	452.0
	"Alaska"	"02"	"2012"	"2012"	"Unintentional"	"1"	368	731449	50.3
	"Alaska"	"02"	"2012"	"2012"	"Suicide"	"2"	168	731449	23.0
	"Alaska"	"02"	"2012"	"2012"	"Homicide"	"3"	38	731449	5.2
	"Alaska"	"02"	"2012"	"2012"	"Undetermined "	"4"	19	731449	Unreliable
	"Alaska"	"02"	"2012"	"2012"	"Non-Injury, no intent classified"	"9"	3316	731449	453.3
	"Alaska"	"02"	"2013"	"2013"	"Unintentional"	"1"	353	735132	48.0
	"Alaska"	"02"	"2013"	"2013"	"Suicide"	"2"	171	735132	23.3
	"Alaska"	"02"	"2013"	"2013"	"Homicide"	"3"	43	735132	5.8
	"Alaska"	"02"	"2013"	"2013"	"Undetermined "	"4"	10	735132	Unreliable
	"Alaska"	"02"	"2013"	"2013"	"Non-Injury, no intent classified"	"9"	3420	735132	465.2
	"Alaska"	"02"	"2014"	"2014"	"Unintentional"	"1"	379	736732	51.4
	"Alaska"	"02"	"2014"	"2014"	"Suicide"	"2"	167	736732	22.7
	"Alaska"	"02"	"2014"	"2014"	"Homicide"	"3"	37	736732	5.0
	"Alaska"	"02"	"2014"	"2014"	"Undetermined "	"4"	32	736732	4.3
	"Alaska"	"02"	"2014"	"2014"	"Non-Injury, no intent classified"	"9"	3513	736732	476.8
	"Alaska"	"02"	"2015"	"2015"	"Unintentional"	"1"	388	738432	52.5
	"Alaska"	"02"	"2015"	"2015"	"Suicide"	"2"	201	738432	27.2
	"Alaska"	"02"	"2015"	"2015"	"Homicide"	"3"	62	738432	8.4
	"Alaska"	"02"	"2015"	"2015"	"Undetermined "	"4"	25	738432	3.4
	"Alaska"	"02"	"2015"	"2015"	"Non-Injury, no intent classified"	"9"	3638	738432	492.7
	"Alaska"	"02"	"2016"	"2016"	"Unintentional"	"1"	439	741894	59.2
	"Alaska"	"02"	"2016"	"2016"	"Suicide"	"2"	193	741894	26.0
	"Alaska"	"02"	"2016"	"2016"	"Homicide"	"3"	54	741894	7.3
	"Alaska"	"02"	"2016"	"2016"	"Undetermined "	"4"	31	741894	4.2
	"Alaska"	"02"	"2016"	"2016"	"Non-Injury, no intent classified"	"9"	3771	741894	508.3
	"Alaska"	"02"	"2017"	"2017"	"Unintentional"	"1"	436	739795	58.9
	"Alaska"	"02"	"2017"	"2017"	"Suicide"	"2"	200	739795	27.0
	"Alaska"	"02"	"2017"	"2017"	"Homicide"	"3"	78	739795	10.5
	"Alaska"	"02"	"2017"	"2017"	"Undetermined "	"4"	30	739795	4.1
	"Alaska"	"02"	"2017"	"2017"	"Non-Injury, no intent classified"	"9"	3662	739795	495.0
	"Alaska"	"02"	"2018"	"2018"	"Unintentional"	"1"	400	737438	54.2
	"Alaska"	"02"	"2018"	"2018"	"Suicide"	"2"	184	737438	25.0
	"Alaska"	"02"	"2018"	"2018"	"Homicide"	"3"	56	737438	7.6
	"Alaska"	"02"	"2018"	"2018"	"Undetermined "	"4"	35	737438	4.7
	"Alaska"	"02"	"2018"	"2018"	"Non-Injury, no intent classified"	"9"	3774	737438	511.8
	"Arizona"	"04"	"1999"	"1999"	"Unintentional"	"1"	2214	5023823	44.1
	"Arizona"	"04"	"1999"	"1999"	"Suicide"	"2"	766	5023823	15.2
	"Arizona"	"04"	"1999"	"1999"	"Homicide"	"3"	470	5023823	9.4
	"Arizona"	"04"	"1999"	"1999"	"Undetermined "	"4"	63	5023823	1.3
	"Arizona"	"04"	"1999"	"1999"	"Legal Intervention / Operations of War"	"5"	23	5023823	0.5
	"Arizona"	"04"	"1999"	"1999"	"Non-Injury, no intent classified"	"9"	36514	5023823	726.8
	"Arizona"	"04"	"2000"	"2000"	"Unintentional"	"1"	2326	5130632	45.3
	"Arizona"	"04"	"2000"	"2000"	"Suicide"	"2"	784	5130632	15.3
	"Arizona"	"04"	"2000"	"2000"	"Homicide"	"3"	410	5130632	8.0
	"Arizona"	"04"	"2000"	"2000"	"Undetermined "	"4"	66	5130632	1.3
	"Arizona"	"04"	"2000"	"2000"	"Legal Intervention / Operations of War"	"5"	11	5130632	Unreliable
	"Arizona"	"04"	"2000"	"2000"	"Non-Injury, no intent classified"	"9"	36903	5130632	719.3
	"Arizona"	"04"	"2001"	"2001"	"Unintentional"	"1"	2475	5273477	46.9
	"Arizona"	"04"	"2001"	"2001"	"Suicide"	"2"	767	5273477	14.5
	"Arizona"	"04"	"2001"	"2001"	"Homicide"	"3"	494	5273477	9.4
	"Arizona"	"04"	"2001"	"2001"	"Undetermined "	"4"	89	5273477	1.7
	"Arizona"	"04"	"2001"	"2001"	"Legal Intervention / Operations of War"	"5"	14	5273477	Unreliable
	"Arizona"	"04"	"2001"	"2001"	"Non-Injury, no intent classified"	"9"	37219	5273477	705.8
	"Arizona"	"04"	"2002"	"2002"	"Unintentional"	"1"	2577	5396255	47.8
	"Arizona"	"04"	"2002"	"2002"	"Suicide"	"2"	886	5396255	16.4
	"Arizona"	"04"	"2002"	"2002"	"Homicide"	"3"	504	5396255	9.3
	"Arizona"	"04"	"2002"	"2002"	"Undetermined "	"4"	100	5396255	1.9
	"Arizona"	"04"	"2002"	"2002"	"Legal Intervention / Operations of War"	"5"	15	5396255	Unreliable
	"Arizona"	"04"	"2002"	"2002"	"Non-Injury, no intent classified"	"9"	38734	5396255	717.8
	"Arizona"	"04"	"2003"	"2003"	"Unintentional"	"1"	2697	5510364	48.9
	"Arizona"	"04"	"2003"	"2003"	"Suicide"	"2"	840	5510364	15.2
	"Arizona"	"04"	"2003"	"2003"	"Homicide"	"3"	498	5510364	9.0
	"Arizona"	"04"	"2003"	"2003"	"Undetermined "	"4"	115	5510364	2.1
	"Arizona"	"04"	"2003"	"2003"	"Legal Intervention / Operations of War"	"5"	13	5510364	Unreliable
	"Arizona"	"04"	"2003"	"2003"	"Non-Injury, no intent classified"	"9"	39229	5510364	711.9
	"Arizona"	"04"	"2004"	"2004"	"Unintentional"	"1"	2770	5652404	49.0
	"Arizona"	"04"	"2004"	"2004"	"Suicide"	"2"	880	5652404	15.6
	"Arizona"	"04"	"2004"	"2004"	"Homicide"	"3"	509	5652404	9.0
	"Arizona"	"04"	"2004"	"2004"	"Undetermined "	"4"	119	5652404	2.1
	"Arizona"	"04"	"2004"	"2004"	"Legal Intervention / Operations of War"	"5"	19	5652404	Unreliable
	"Arizona"	"04"	"2004"	"2004"	"Non-Injury, no intent classified"	"9"	38901	5652404	688.2
	"Arizona"	"04"	"2005"	"2005"	"Unintentional"	"1"	3150	5839077	53.9
	"Arizona"	"04"	"2005"	"2005"	"Suicide"	"2"	945	5839077	16.2
	"Arizona"	"04"	"2005"	"2005"	"Homicide"	"3"	532	5839077	9.1
	"Arizona"	"04"	"2005"	"2005"	"Undetermined "	"4"	168	5839077	2.9
	"Arizona"	"04"	"2005"	"2005"	"Non-Injury, no intent classified"	"9"	41025	5839077	702.6
	"Arizona"	"04"	"2006"	"2006"	"Unintentional"	"1"	3352	6029141	55.6
	"Arizona"	"04"	"2006"	"2006"	"Suicide"	"2"	979	6029141	16.2
	"Arizona"	"04"	"2006"	"2006"	"Homicide"	"3"	549	6029141	9.1
	"Arizona"	"04"	"2006"	"2006"	"Undetermined "	"4"	134	6029141	2.2
	"Arizona"	"04"	"2006"	"2006"	"Non-Injury, no intent classified"	"9"	41342	6029141	685.7
	"Arizona"	"04"	"2007"	"2007"	"Unintentional"	"1"	3161	6167681	51.3
	"Arizona"	"04"	"2007"	"2007"	"Suicide"	"2"	1016	6167681	16.5
	"Arizona"	"04"	"2007"	"2007"	"Homicide"	"3"	528	6167681	8.6
	"Arizona"	"04"	"2007"	"2007"	"Undetermined "	"4"	123	6167681	2.0
	"Arizona"	"04"	"2007"	"2007"	"Legal Intervention / Operations of War"	"5"	17	6167681	Unreliable
	"Arizona"	"04"	"2007"	"2007"	"Non-Injury, no intent classified"	"9"	40709	6167681	660.0
	"Arizona"	"04"	"2008"	"2008"	"Unintentional"	"1"	2956	6280362	47.1
	"Arizona"	"04"	"2008"	"2008"	"Suicide"	"2"	972	6280362	15.5
	"Arizona"	"04"	"2008"	"2008"	"Homicide"	"3"	474	6280362	7.5
	"Arizona"	"04"	"2008"	"2008"	"Undetermined "	"4"	111	6280362	1.8
	"Arizona"	"04"	"2008"	"2008"	"Non-Injury, no intent classified"	"9"	41301	6280362	657.6
	"Arizona"	"04"	"2009"	"2009"	"Unintentional"	"1"	2919	6343154	46.0
	"Arizona"	"04"	"2009"	"2009"	"Suicide"	"2"	1060	6343154	16.7
	"Arizona"	"04"	"2009"	"2009"	"Homicide"	"3"	387	6343154	6.1
	"Arizona"	"04"	"2009"	"2009"	"Undetermined "	"4"	121	6343154	1.9
	"Arizona"	"04"	"2009"	"2009"	"Non-Injury, no intent classified"	"9"	41321	6343154	651.4
	"Arizona"	"04"	"2010"	"2010"	"Unintentional"	"1"	3018	6392017	47.2
	"Arizona"	"04"	"2010"	"2010"	"Suicide"	"2"	1093	6392017	17.1
	"Arizona"	"04"	"2010"	"2010"	"Homicide"	"3"	418	6392017	6.5
	"Arizona"	"04"	"2010"	"2010"	"Undetermined "	"4"	163	6392017	2.6
	"Arizona"	"04"	"2010"	"2010"	"Legal Intervention / Operations of War"	"5"	13	6392017	Unreliable
	"Arizona"	"04"	"2010"	"2010"	"Non-Injury, no intent classified"	"9"	42057	6392017	658.0
	"Arizona"	"04"	"2011"	"2011"	"Unintentional"	"1"	3096	6482505	47.8
	"Arizona"	"04"	"2011"	"2011"	"Suicide"	"2"	1160	6482505	17.9
	"Arizona"	"04"	"2011"	"2011"	"Homicide"	"3"	402	6482505	6.2
	"Arizona"	"04"	"2011"	"2011"	"Undetermined "	"4"	144	6482505	2.2
	"Arizona"	"04"	"2011"	"2011"	"Legal Intervention / Operations of War"	"5"	17	6482505	Unreliable
	"Arizona"	"04"	"2011"	"2011"	"Non-Injury, no intent classified"	"9"	43562	6482505	672.0
	"Arizona"	"04"	"2012"	"2012"	"Unintentional"	"1"	3029	6553255	46.2
	"Arizona"	"04"	"2012"	"2012"	"Suicide"	"2"	1156	6553255	17.6
	"Arizona"	"04"	"2012"	"2012"	"Homicide"	"3"	394	6553255	6.0
	"Arizona"	"04"	"2012"	"2012"	"Undetermined "	"4"	204	6553255	3.1
	"Arizona"	"04"	"2012"	"2012"	"Legal Intervention / Operations of War"	"5"	19	6553255	Unreliable
	"Arizona"	"04"	"2012"	"2012"	"Non-Injury, no intent classified"	"9"	44747	6553255	682.8
	"Arizona"	"04"	"2013"	"2013"	"Unintentional"	"1"	3349	6626624	50.5
	"Arizona"	"04"	"2013"	"2013"	"Suicide"	"2"	1163	6626624	17.6
	"Arizona"	"04"	"2013"	"2013"	"Homicide"	"3"	389	6626624	5.9
	"Arizona"	"04"	"2013"	"2013"	"Undetermined "	"4"	199	6626624	3.0
	"Arizona"	"04"	"2013"	"2013"	"Legal Intervention / Operations of War"	"5"	15	6626624	Unreliable
	"Arizona"	"04"	"2013"	"2013"	"Non-Injury, no intent classified"	"9"	45419	6626624	685.4
	"Arizona"	"04"	"2014"	"2014"	"Unintentional"	"1"	3322	6731484	49.4
	"Arizona"	"04"	"2014"	"2014"	"Suicide"	"2"	1244	6731484	18.5
	"Arizona"	"04"	"2014"	"2014"	"Homicide"	"3"	322	6731484	4.8
	"Arizona"	"04"	"2014"	"2014"	"Undetermined "	"4"	176	6731484	2.6
	"Arizona"	"04"	"2014"	"2014"	"Legal Intervention / Operations of War"	"5"	15	6731484	Unreliable
	"Arizona"	"04"	"2014"	"2014"	"Non-Injury, no intent classified"	"9"	46459	6731484	690.2
	"Arizona"	"04"	"2015"	"2015"	"Unintentional"	"1"	3539	6828065	51.8
	"Arizona"	"04"	"2015"	"2015"	"Suicide"	"2"	1276	6828065	18.7
	"Arizona"	"04"	"2015"	"2015"	"Homicide"	"3"	364	6828065	5.3
	"Arizona"	"04"	"2015"	"2015"	"Undetermined "	"4"	161	6828065	2.4
	"Arizona"	"04"	"2015"	"2015"	"Legal Intervention / Operations of War"	"5"	15	6828065	Unreliable
	"Arizona"	"04"	"2015"	"2015"	"Non-Injury, no intent classified"	"9"	48944	6828065	716.8
	"Arizona"	"04"	"2016"	"2016"	"Unintentional"	"1"	4010	6931071	57.9
	"Arizona"	"04"	"2016"	"2016"	"Suicide"	"2"	1271	6931071	18.3
	"Arizona"	"04"	"2016"	"2016"	"Homicide"	"3"	420	6931071	6.1
