"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Multiple Cause of death"	"Multiple Cause of death Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"2018"	"2018"	"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, unspecified mental and behavioural disorder"	"F19.9"	139	4887871	2.8
	"Alabama"	"01"	"2018"	"2018"	"Anoxic brain damage, not elsewhere classified"	"G93.1"	18	4887871	Unreliable
	"Alabama"	"01"	"2018"	"2018"	"Essential (primary) hypertension"	"I10"	20	4887871	0.4
	"Alabama"	"01"	"2018"	"2018"	"Hypertensive heart disease without (congestive) heart failure"	"I11.9"	16	4887871	Unreliable
	"Alabama"	"01"	"2018"	"2018"	"Atherosclerotic cardiovascular disease, so described"	"I25.0"	10	4887871	Unreliable
	"Alabama"	"01"	"2018"	"2018"	"Atherosclerotic heart disease"	"I25.1"	13	4887871	Unreliable
	"Alabama"	"01"	"2018"	"2018"	"Cardiac arrest, unspecified"	"I46.9"	48	4887871	1.0
	"Alabama"	"01"	"2018"	"2018"	"Cardiac arrhythmia, unspecified"	"I49.9"	12	4887871	Unreliable
	"Alabama"	"01"	"2018"	"2018"	"Cardiomegaly"	"I51.7"	16	4887871	Unreliable
	"Alabama"	"01"	"2018"	"2018"	"Respiratory failure, unspecified"	"J96.9"	17	4887871	Unreliable
	"Alabama"	"01"	"2018"	"2018"	"Respiratory arrest"	"R09.2"	19	4887871	Unreliable
	"Alabama"	"01"	"2018"	"2018"	"Heroin"	"T40.1"	137	4887871	2.8
	"Alabama"	"01"	"2018"	"2018"	"Other opioids"	"T40.2"	126	4887871	2.6
	"Alabama"	"01"	"2018"	"2018"	"Methadone"	"T40.3"	32	4887871	0.7
	"Alabama"	"01"	"2018"	"2018"	"Other synthetic narcotics"	"T40.4"	147	4887871	3.0
	"Alabama"	"01"	"2018"	"2018"	"Cocaine"	"T40.5"	88	4887871	1.8
	"Alabama"	"01"	"2018"	"2018"	"Other and unspecified narcotics"	"T40.6"	11	4887871	Unreliable
	"Alabama"	"01"	"2018"	"2018"	"Cannabis (derivatives)"	"T40.7"	18	4887871	Unreliable
	"Alabama"	"01"	"2018"	"2018"	"Benzodiazepines"	"T42.4"	81	4887871	1.7
	"Alabama"	"01"	"2018"	"2018"	"Other antiepileptic and sedative-hypnotic drugs"	"T42.6"	21	4887871	0.4
	"Alabama"	"01"	"2018"	"2018"	"Tricyclic and tetracyclic antidepressants"	"T43.0"	21	4887871	0.4
	"Alabama"	"01"	"2018"	"2018"	"Other and unspecified antidepressants"	"T43.2"	28	4887871	0.6
	"Alabama"	"01"	"2018"	"2018"	"Psychostimulants with abuse potential"	"T43.6"	155	4887871	3.2
	"Alabama"	"01"	"2018"	"2018"	"Antiallergic and antiemetic drugs"	"T45.0"	28	4887871	0.6
	"Alabama"	"01"	"2018"	"2018"	"Other and unspecified drugs, medicaments and biological substances"	"T50.9"	418	4887871	8.6
	"Alabama"	"01"	"2018"	"2018"	"Ethanol"	"T51.0"	50	4887871	1.0
	"Alabama"	"01"	"2018"	"2018"	"Alcohol, unspecified"	"T51.9"	10	4887871	Unreliable
	"Alabama"	"01"	"2018"	"2018"	"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X41"	91	4887871	1.9
	"Alabama"	"01"	"2018"	"2018"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	252	4887871	5.2
	"Alabama"	"01"	"2018"	"2018"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	339	4887871	6.9
	"Alabama"	"01"	"2018"	"2018"	"Accidental poisoning by and exposure to alcohol"	"X45"	55	4887871	1.1
	"Alabama"	"01"	"2018"	"2018"	"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X61"	11	4887871	Unreliable
	"Alabama"	"01"	"2018"	"2018"	"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X62"	10	4887871	Unreliable
	"Alabama"	"01"	"2018"	"2018"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	33	4887871	0.7
	"Alabama"	"01"	"2018"	"2018"	"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent"	"Y12"	13	4887871	Unreliable
	"Alabama"	"01"	"2018"	"2018"	"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent"	"Y14"	16	4887871	Unreliable
	"Alaska"	"02"	"2016"	"2016"	"Mental and behavioural disorders due to use of alcohol, unspecified mental and behavioural disorder"	"F10.9"	19	741894	Unreliable
	"Alaska"	"02"	"2016"	"2016"	"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, unspecified mental and behavioural disorder"	"F19.9"	19	741894	Unreliable
	"Alaska"	"02"	"2016"	"2016"	"Essential (primary) hypertension"	"I10"	10	741894	Unreliable
	"Alaska"	"02"	"2016"	"2016"	"Hypertensive heart disease without (congestive) heart failure"	"I11.9"	28	741894	3.8
	"Alaska"	"02"	"2016"	"2016"	"Atherosclerotic cardiovascular disease, so described"	"I25.0"	28	741894	3.8
	"Alaska"	"02"	"2016"	"2016"	"Heroin"	"T40.1"	49	741894	6.6
	"Alaska"	"02"	"2016"	"2016"	"Other opioids"	"T40.2"	45	741894	6.1
	"Alaska"	"02"	"2016"	"2016"	"Methadone"	"T40.3"	13	741894	Unreliable
	"Alaska"	"02"	"2016"	"2016"	"Cocaine"	"T40.5"	15	741894	Unreliable
	"Alaska"	"02"	"2016"	"2016"	"Other and unspecified narcotics"	"T40.6"	25	741894	3.4
	"Alaska"	"02"	"2016"	"2016"	"Benzodiazepines"	"T42.4"	24	741894	3.2
	"Alaska"	"02"	"2016"	"2016"	"Other and unspecified antidepressants"	"T43.2"	10	741894	Unreliable
	"Alaska"	"02"	"2016"	"2016"	"Psychostimulants with abuse potential"	"T43.6"	49	741894	6.6
	"Alaska"	"02"	"2016"	"2016"	"Other and unspecified drugs, medicaments and biological substances"	"T50.9"	106	741894	14.3
	"Alaska"	"02"	"2016"	"2016"	"Ethanol"	"T51.0"	27	741894	3.6
	"Alaska"	"02"	"2016"	"2016"	"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X41"	16	741894	Unreliable
	"Alaska"	"02"	"2016"	"2016"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	36	741894	4.9
	"Alaska"	"02"	"2016"	"2016"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	51	741894	6.9
	"Alaska"	"02"	"2016"	"2016"	"Accidental poisoning by and exposure to alcohol"	"X45"	22	741894	3.0
	"Alaska"	"02"	"2017"	"2017"	"Mental and behavioural disorders due to use of alcohol, unspecified mental and behavioural disorder"	"F10.9"	24	739795	3.2
	"Alaska"	"02"	"2017"	"2017"	"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use"	"F19.1"	14	739795	Unreliable
	"Alaska"	"02"	"2017"	"2017"	"Hypertensive heart disease without (congestive) heart failure"	"I11.9"	23	739795	3.1
	"Alaska"	"02"	"2017"	"2017"	"Atherosclerotic cardiovascular disease, so described"	"I25.0"	26	739795	3.5
	"Alaska"	"02"	"2017"	"2017"	"Cardiomegaly"	"I51.7"	12	739795	Unreliable
	"Alaska"	"02"	"2017"	"2017"	"Heroin"	"T40.1"	36	739795	4.9
	"Alaska"	"02"	"2017"	"2017"	"Other opioids"	"T40.2"	47	739795	6.4
	"Alaska"	"02"	"2017"	"2017"	"Other synthetic narcotics"	"T40.4"	37	739795	5.0
	"Alaska"	"02"	"2017"	"2017"	"Cocaine"	"T40.5"	17	739795	Unreliable
	"Alaska"	"02"	"2017"	"2017"	"Other and unspecified narcotics"	"T40.6"	26	739795	3.5
	"Alaska"	"02"	"2017"	"2017"	"Benzodiazepines"	"T42.4"	30	739795	4.1
	"Alaska"	"02"	"2017"	"2017"	"Other and unspecified antidepressants"	"T43.2"	13	739795	Unreliable
	"Alaska"	"02"	"2017"	"2017"	"Psychostimulants with abuse potential"	"T43.6"	66	739795	8.9
	"Alaska"	"02"	"2017"	"2017"	"Other and unspecified drugs, medicaments and biological substances"	"T50.9"	132	739795	17.8
	"Alaska"	"02"	"2017"	"2017"	"Ethanol"	"T51.0"	32	739795	4.3
	"Alaska"	"02"	"2017"	"2017"	"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X41"	20	739795	2.7
	"Alaska"	"02"	"2017"	"2017"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	36	739795	4.9
	"Alaska"	"02"	"2017"	"2017"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	67	739795	9.1
	"Alaska"	"02"	"2017"	"2017"	"Accidental poisoning by and exposure to alcohol"	"X45"	23	739795	3.1
	"Alaska"	"02"	"2017"	"2017"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	15	739795	Unreliable
	"Alaska"	"02"	"2018"	"2018"	"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, unspecified mental and behavioural disorder"	"F19.9"	18	737438	Unreliable
	"Alaska"	"02"	"2018"	"2018"	"Anoxic brain damage, not elsewhere classified"	"G93.1"	10	737438	Unreliable
	"Alaska"	"02"	"2018"	"2018"	"Hypertensive heart disease without (congestive) heart failure"	"I11.9"	31	737438	4.2
	"Alaska"	"02"	"2018"	"2018"	"Atherosclerotic cardiovascular disease, so described"	"I25.0"	27	737438	3.7
	"Alaska"	"02"	"2018"	"2018"	"Heroin"	"T40.1"	29	737438	3.9
	"Alaska"	"02"	"2018"	"2018"	"Other opioids"	"T40.2"	34	737438	4.6
	"Alaska"	"02"	"2018"	"2018"	"Other synthetic narcotics"	"T40.4"	18	737438	Unreliable
	"Alaska"	"02"	"2018"	"2018"	"Cocaine"	"T40.5"	10	737438	Unreliable
	"Alaska"	"02"	"2018"	"2018"	"Other and unspecified narcotics"	"T40.6"	23	737438	3.1
	"Alaska"	"02"	"2018"	"2018"	"Benzodiazepines"	"T42.4"	25	737438	3.4
	"Alaska"	"02"	"2018"	"2018"	"Psychostimulants with abuse potential"	"T43.6"	52	737438	7.1
	"Alaska"	"02"	"2018"	"2018"	"Other and unspecified drugs, medicaments and biological substances"	"T50.9"	90	737438	12.2
	"Alaska"	"02"	"2018"	"2018"	"Ethanol"	"T51.0"	14	737438	Unreliable
	"Alaska"	"02"	"2018"	"2018"	"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X41"	21	737438	2.8
	"Alaska"	"02"	"2018"	"2018"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	27	737438	3.7
	"Alaska"	"02"	"2018"	"2018"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	47	737438	6.4
	"Alaska"	"02"	"2018"	"2018"	"Accidental poisoning by and exposure to alcohol"	"X45"	12	737438	Unreliable
	"Arizona"	"04"	"2016"	"2016"	"Septicaemia, unspecified"	"A41.9"	19	6931071	Unreliable
	"Arizona"	"04"	"2016"	"2016"	"Chronic viral hepatitis C"	"B18.2"	11	6931071	Unreliable
	"Arizona"	"04"	"2016"	"2016"	"Unspecified diabetes mellitus, without complications"	"E14.9"	30	6931071	0.4
	"Arizona"	"04"	"2016"	"2016"	"Other obesity"	"E66.8"	10	6931071	Unreliable
	"Arizona"	"04"	"2016"	"2016"	"Obesity, unspecified"	"E66.9"	21	6931071	0.3
	"Arizona"	"04"	"2016"	"2016"	"Mental and behavioural disorders due to use of alcohol, dependence syndrome"	"F10.2"	19	6931071	Unreliable
	"Arizona"	"04"	"2016"	"2016"	"Mental and behavioural disorders due to use of alcohol, unspecified mental and behavioural disorder"	"F10.9"	73	6931071	1.1
	"Arizona"	"04"	"2016"	"2016"	"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder"	"F11.9"	42	6931071	0.6
	"Arizona"	"04"	"2016"	"2016"	"Mental and behavioural disorders due to use of other stimulants, including caffeine, harmful use"	"F15.1"	18	6931071	Unreliable
	"Arizona"	"04"	"2016"	"2016"	"Mental and behavioural disorders due to use of other stimulants, including caffeine, unspecified mental and behavioural disorder"	"F15.9"	43	6931071	0.6
	"Arizona"	"04"	"2016"	"2016"	"Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder"	"F17.9"	105	6931071	1.5
	"Arizona"	"04"	"2016"	"2016"	"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use"	"F19.1"	236	6931071	3.4
	"Arizona"	"04"	"2016"	"2016"	"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, unspecified mental and behavioural disorder"	"F19.9"	191	6931071	2.8
	"Arizona"	"04"	"2016"	"2016"	"Depressive episode, unspecified"	"F32.9"	12	6931071	Unreliable
	"Arizona"	"04"	"2016"	"2016"	"Anoxic brain damage, not elsewhere classified"	"G93.1"	12	6931071	Unreliable
	"Arizona"	"04"	"2016"	"2016"	"Essential (primary) hypertension"	"I10"	16	6931071	Unreliable
	"Arizona"	"04"	"2016"	"2016"	"Hypertensive heart disease without (congestive) heart failure"	"I11.9"	140	6931071	2.0
	"Arizona"	"04"	"2016"	"2016"	"Atherosclerotic cardiovascular disease, so described"	"I25.0"	130	6931071	1.9
	"Arizona"	"04"	"2016"	"2016"	"Atherosclerotic heart disease"	"I25.1"	10	6931071	Unreliable
	"Arizona"	"04"	"2016"	"2016"	"Acute and subacute infective endocarditis"	"I33.0"	11	6931071	Unreliable
	"Arizona"	"04"	"2016"	"2016"	"Endocarditis, valve unspecified"	"I38"	11	6931071	Unreliable
	"Arizona"	"04"	"2016"	"2016"	"Cardiomyopathy, unspecified"	"I42.9"	16	6931071	Unreliable
	"Arizona"	"04"	"2016"	"2016"	"Cardiac arrest, unspecified"	"I46.9"	18	6931071	Unreliable
	"Arizona"	"04"	"2016"	"2016"	"Congestive heart failure"	"I50.0"	10	6931071	Unreliable
	"Arizona"	"04"	"2016"	"2016"	"Cardiomegaly"	"I51.7"	10	6931071	Unreliable
	"Arizona"	"04"	"2016"	"2016"	"Pneumonia, unspecified"	"J18.9"	13	6931071	Unreliable
	"Arizona"	"04"	"2016"	"2016"	"Chronic obstructive pulmonary disease, unspecified"	"J44.9"	24	6931071	0.3
	"Arizona"	"04"	"2016"	"2016"	"Asthma, unspecified"	"J45.9"	12	6931071	Unreliable
	"Arizona"	"04"	"2016"	"2016"	"Other and unspecified cirrhosis of liver"	"K74.6"	11	6931071	Unreliable
	"Arizona"	"04"	"2016"	"2016"	"4-Aminophenol derivatives"	"T39.1"	34	6931071	0.5
	"Arizona"	"04"	"2016"	"2016"	"Heroin"	"T40.1"	299	6931071	4.3
	"Arizona"	"04"	"2016"	"2016"	"Other opioids"	"T40.2"	326	6931071	4.7
	"Arizona"	"04"	"2016"	"2016"	"Methadone"	"T40.3"	75	6931071	1.1
	"Arizona"	"04"	"2016"	"2016"	"Other synthetic narcotics"	"T40.4"	123	6931071	1.8
	"Arizona"	"04"	"2016"	"2016"	"Cocaine"	"T40.5"	82	6931071	1.2
	"Arizona"	"04"	"2016"	"2016"	"Other and unspecified narcotics"	"T40.6"	47	6931071	0.7
	"Arizona"	"04"	"2016"	"2016"	"Cannabis (derivatives)"	"T40.7"	10	6931071	Unreliable
	"Arizona"	"04"	"2016"	"2016"	"Benzodiazepines"	"T42.4"	210	6931071	3.0
	"Arizona"	"04"	"2016"	"2016"	"Other antiepileptic and sedative-hypnotic drugs"	"T42.6"	39	6931071	0.6
	"Arizona"	"04"	"2016"	"2016"	"Antiparkinsonism drugs and other central muscle-tone depressants"	"T42.8"	19	6931071	Unreliable
	"Arizona"	"04"	"2016"	"2016"	"Tricyclic and tetracyclic antidepressants"	"T43.0"	22	6931071	0.3
	"Arizona"	"04"	"2016"	"2016"	"Other and unspecified antidepressants"	"T43.2"	79	6931071	1.1
	"Arizona"	"04"	"2016"	"2016"	"Other and unspecified antipsychotics and neuroleptics"	"T43.5"	29	6931071	0.4
	"Arizona"	"04"	"2016"	"2016"	"Psychostimulants with abuse potential"	"T43.6"	454	6931071	6.6
	"Arizona"	"04"	"2016"	"2016"	"Antiallergic and antiemetic drugs"	"T45.0"	57	6931071	0.8
	"Arizona"	"04"	"2016"	"2016"	"Skeletal muscle relaxants [neuromuscular blocking agents]"	"T48.1"	13	6931071	Unreliable
