"Notes"	"State"	"State Code"	"Year"	"Year Code"	"MCD - Drug/Alcohol Induced"	"MCD - Drug/Alcohol Induced Code"	Deaths	Population	Crude Rate
	"Arizona"	"04"	"2012"	"2012"	"All other non-drug and non-alcohol causes"	"O"	49181	6553255	750.5
"Total"	"Arizona"	"04"	"2012"	"2012"			58334	6553255	890.2
	"Arizona"	"04"	"2013"	"2013"	"Drug-induced causes"	"D"	7685	6626624	116.0
	"Arizona"	"04"	"2013"	"2013"	"Alcohol-induced causes"	"A"	1859	6626624	28.1
	"Arizona"	"04"	"2013"	"2013"	"All other non-drug and non-alcohol causes"	"O"	50129	6626624	756.5
"Total"	"Arizona"	"04"	"2013"	"2013"			59673	6626624	900.5
	"Arizona"	"04"	"2014"	"2014"	"Drug-induced causes"	"D"	7688	6731484	114.2
	"Arizona"	"04"	"2014"	"2014"	"Alcohol-induced causes"	"A"	1923	6731484	28.6
	"Arizona"	"04"	"2014"	"2014"	"All other non-drug and non-alcohol causes"	"O"	51157	6731484	760.0
"Total"	"Arizona"	"04"	"2014"	"2014"			60768	6731484	902.7
	"Arizona"	"04"	"2015"	"2015"	"Drug-induced causes"	"D"	8253	6828065	120.9
	"Arizona"	"04"	"2015"	"2015"	"Alcohol-induced causes"	"A"	2070	6828065	30.3
	"Arizona"	"04"	"2015"	"2015"	"All other non-drug and non-alcohol causes"	"O"	53887	6828065	789.2
"Total"	"Arizona"	"04"	"2015"	"2015"			64210	6828065	940.4
	"Arizona"	"04"	"2016"	"2016"	"Drug-induced causes"	"D"	9013	6931071	130.0
	"Arizona"	"04"	"2016"	"2016"	"Alcohol-induced causes"	"A"	2203	6931071	31.8
	"Arizona"	"04"	"2016"	"2016"	"All other non-drug and non-alcohol causes"	"O"	56220	6931071	811.1
"Total"	"Arizona"	"04"	"2016"	"2016"			67436	6931071	973.0
	"Arizona"	"04"	"2017"	"2017"	"Drug-induced causes"	"D"	9344	7016270	133.2
	"Arizona"	"04"	"2017"	"2017"	"Alcohol-induced causes"	"A"	2215	7016270	31.6
	"Arizona"	"04"	"2017"	"2017"	"All other non-drug and non-alcohol causes"	"O"	57329	7016270	817.1
"Total"	"Arizona"	"04"	"2017"	"2017"			68888	7016270	981.8
	"Arizona"	"04"	"2018"	"2018"	"Drug-induced causes"	"D"	9839	7171646	137.2
	"Arizona"	"04"	"2018"	"2018"	"Alcohol-induced causes"	"A"	2174	7171646	30.3
	"Arizona"	"04"	"2018"	"2018"	"All other non-drug and non-alcohol causes"	"O"	58882	7171646	821.0
"Total"	"Arizona"	"04"	"2018"	"2018"			70895	7171646	988.5
"Total"	"Arizona"	"04"					1063827	123379307	862.2
	"Arkansas"	"05"	"1999"	"1999"	"Drug-induced causes"	"D"	216	2651860	8.1
	"Arkansas"	"05"	"1999"	"1999"	"Alcohol-induced causes"	"A"	228	2651860	8.6
	"Arkansas"	"05"	"1999"	"1999"	"All other non-drug and non-alcohol causes"	"O"	27911	2651860	1052.5
"Total"	"Arkansas"	"05"	"1999"	"1999"			28355	2651860	1069.2
	"Arkansas"	"05"	"2000"	"2000"	"Drug-induced causes"	"D"	296	2673400	11.1
	"Arkansas"	"05"	"2000"	"2000"	"Alcohol-induced causes"	"A"	218	2673400	8.2
	"Arkansas"	"05"	"2000"	"2000"	"All other non-drug and non-alcohol causes"	"O"	28202	2673400	1054.9
"Total"	"Arkansas"	"05"	"2000"	"2000"			28716	2673400	1074.1
	"Arkansas"	"05"	"2001"	"2001"	"Drug-induced causes"	"D"	282	2691571	10.5
	"Arkansas"	"05"	"2001"	"2001"	"Alcohol-induced causes"	"A"	281	2691571	10.4
	"Arkansas"	"05"	"2001"	"2001"	"All other non-drug and non-alcohol causes"	"O"	27738	2691571	1030.6
"Total"	"Arkansas"	"05"	"2001"	"2001"			28301	2691571	1051.5
	"Arkansas"	"05"	"2002"	"2002"	"Drug-induced causes"	"D"	370	2705927	13.7
	"Arkansas"	"05"	"2002"	"2002"	"Alcohol-induced causes"	"A"	286	2705927	10.6
	"Arkansas"	"05"	"2002"	"2002"	"All other non-drug and non-alcohol causes"	"O"	28500	2705927	1053.2
"Total"	"Arkansas"	"05"	"2002"	"2002"			29156	2705927	1077.5
	"Arkansas"	"05"	"2003"	"2003"	"Drug-induced causes"	"D"	494	2724816	18.1
	"Arkansas"	"05"	"2003"	"2003"	"Alcohol-induced causes"	"A"	285	2724816	10.5
	"Arkansas"	"05"	"2003"	"2003"	"All other non-drug and non-alcohol causes"	"O"	27899	2724816	1023.9
"Total"	"Arkansas"	"05"	"2003"	"2003"			28678	2724816	1052.5
	"Arkansas"	"05"	"2004"	"2004"	"Drug-induced causes"	"D"	582	2749686	21.2
	"Arkansas"	"05"	"2004"	"2004"	"Alcohol-induced causes"	"A"	284	2749686	10.3
	"Arkansas"	"05"	"2004"	"2004"	"All other non-drug and non-alcohol causes"	"O"	27508	2749686	1000.4
"Total"	"Arkansas"	"05"	"2004"	"2004"			28374	2749686	1031.9
	"Arkansas"	"05"	"2005"	"2005"	"Drug-induced causes"	"D"	638	2781097	22.9
	"Arkansas"	"05"	"2005"	"2005"	"Alcohol-induced causes"	"A"	311	2781097	11.2
	"Arkansas"	"05"	"2005"	"2005"	"All other non-drug and non-alcohol causes"	"O"	28037	2781097	1008.1
"Total"	"Arkansas"	"05"	"2005"	"2005"			28986	2781097	1042.3
	"Arkansas"	"05"	"2006"	"2006"	"Drug-induced causes"	"D"	725	2821761	25.7
	"Arkansas"	"05"	"2006"	"2006"	"Alcohol-induced causes"	"A"	349	2821761	12.4
	"Arkansas"	"05"	"2006"	"2006"	"All other non-drug and non-alcohol causes"	"O"	27874	2821761	987.8
"Total"	"Arkansas"	"05"	"2006"	"2006"			28948	2821761	1025.9
	"Arkansas"	"05"	"2007"	"2007"	"Drug-induced causes"	"D"	753	2848650	26.4
	"Arkansas"	"05"	"2007"	"2007"	"Alcohol-induced causes"	"A"	372	2848650	13.1
	"Arkansas"	"05"	"2007"	"2007"	"All other non-drug and non-alcohol causes"	"O"	28158	2848650	988.5
"Total"	"Arkansas"	"05"	"2007"	"2007"			29283	2848650	1028.0
	"Arkansas"	"05"	"2008"	"2008"	"Drug-induced causes"	"D"	4099	2874554	142.6
	"Arkansas"	"05"	"2008"	"2008"	"Alcohol-induced causes"	"A"	389	2874554	13.5
	"Arkansas"	"05"	"2008"	"2008"	"All other non-drug and non-alcohol causes"	"O"	29280	2874554	1018.6
"Total"	"Arkansas"	"05"	"2008"	"2008"			33768	2874554	1174.7
	"Arkansas"	"05"	"2009"	"2009"	"Drug-induced causes"	"D"	3978	2896843	137.3
	"Arkansas"	"05"	"2009"	"2009"	"Alcohol-induced causes"	"A"	387	2896843	13.4
	"Arkansas"	"05"	"2009"	"2009"	"All other non-drug and non-alcohol causes"	"O"	28636	2896843	988.5
"Total"	"Arkansas"	"05"	"2009"	"2009"			33001	2896843	1139.2
	"Arkansas"	"05"	"2010"	"2010"	"Drug-induced causes"	"D"	3831	2915918	131.4
	"Arkansas"	"05"	"2010"	"2010"	"Alcohol-induced causes"	"A"	393	2915918	13.5
	"Arkansas"	"05"	"2010"	"2010"	"All other non-drug and non-alcohol causes"	"O"	28875	2915918	990.3
"Total"	"Arkansas"	"05"	"2010"	"2010"			33099	2915918	1135.1
	"Arkansas"	"05"	"2011"	"2011"	"Drug-induced causes"	"D"	3938	2937979	134.0
	"Arkansas"	"05"	"2011"	"2011"	"Alcohol-induced causes"	"A"	384	2937979	13.1
