"Notes"	"State"	"State Code"	"Year"	"Year Code"	"MCD - Drug/Alcohol Induced Cause"	"MCD - Drug/Alcohol Induced Cause Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"2007"	"2007"	"Alcohol poisonings (overdose) (X45, X65, Y15)"	"A1"	73	4672840	1.6
	"Alabama"	"01"	"2007"	"2007"	"All other alcohol-induced causes"	"A9"	400	4672840	8.6
	"Alabama"	"01"	"2007"	"2007"	"All other non-drug and non-alcohol causes"	"O9"	46611	4672840	997.5
	"Alabama"	"01"	"2008"	"2008"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	517	4718206	11.0
	"Alabama"	"01"	"2008"	"2008"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	49	4718206	1.0
	"Alabama"	"01"	"2008"	"2008"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	79	4718206	1.7
	"Alabama"	"01"	"2008"	"2008"	"All other drug-induced causes"	"D9"	420	4718206	8.9
	"Alabama"	"01"	"2008"	"2008"	"Alcohol poisonings (overdose) (X45, X65, Y15)"	"A1"	80	4718206	1.7
	"Alabama"	"01"	"2008"	"2008"	"All other alcohol-induced causes"	"A9"	405	4718206	8.6
	"Alabama"	"01"	"2008"	"2008"	"All other non-drug and non-alcohol causes"	"O9"	47638	4718206	1009.7
	"Alabama"	"01"	"2009"	"2009"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	561	4757938	11.8
	"Alabama"	"01"	"2009"	"2009"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	53	4757938	1.1
	"Alabama"	"01"	"2009"	"2009"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	39	4757938	0.8
	"Alabama"	"01"	"2009"	"2009"	"All other drug-induced causes"	"D9"	518	4757938	10.9
	"Alabama"	"01"	"2009"	"2009"	"Alcohol poisonings (overdose) (X45, X65, Y15)"	"A1"	79	4757938	1.7
	"Alabama"	"01"	"2009"	"2009"	"All other alcohol-induced causes"	"A9"	389	4757938	8.2
	"Alabama"	"01"	"2009"	"2009"	"All other non-drug and non-alcohol causes"	"O9"	47393	4757938	996.1
	"Alabama"	"01"	"2010"	"2010"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	494	4779736	10.3
	"Alabama"	"01"	"2010"	"2010"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	54	4779736	1.1
	"Alabama"	"01"	"2010"	"2010"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	28	4779736	0.6
	"Alabama"	"01"	"2010"	"2010"	"All other drug-induced causes"	"D9"	489	4779736	10.2
	"Alabama"	"01"	"2010"	"2010"	"Alcohol poisonings (overdose) (X45, X65, Y15)"	"A1"	75	4779736	1.6
	"Alabama"	"01"	"2010"	"2010"	"All other alcohol-induced causes"	"A9"	409	4779736	8.6
	"Alabama"	"01"	"2010"	"2010"	"All other non-drug and non-alcohol causes"	"O9"	47957	4779736	1003.3
	"Alabama"	"01"	"2011"	"2011"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	513	4802740	10.7
	"Alabama"	"01"	"2011"	"2011"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	39	4802740	0.8
	"Alabama"	"01"	"2011"	"2011"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	26	4802740	0.5
	"Alabama"	"01"	"2011"	"2011"	"All other drug-induced causes"	"D9"	578	4802740	12.0
	"Alabama"	"01"	"2011"	"2011"	"Alcohol poisonings (overdose) (X45, X65, Y15)"	"A1"	80	4802740	1.7
	"Alabama"	"01"	"2011"	"2011"	"All other alcohol-induced causes"	"A9"	420	4802740	8.7
	"Alabama"	"01"	"2011"	"2011"	"All other non-drug and non-alcohol causes"	"O9"	48586	4802740	1011.6
	"Alabama"	"01"	"2012"	"2012"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	503	4822023	10.4
	"Alabama"	"01"	"2012"	"2012"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	58	4822023	1.2
	"Alabama"	"01"	"2012"	"2012"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	27	4822023	0.6
	"Alabama"	"01"	"2012"	"2012"	"All other drug-induced causes"	"D9"	633	4822023	13.1
	"Alabama"	"01"	"2012"	"2012"	"Alcohol poisonings (overdose) (X45, X65, Y15)"	"A1"	53	4822023	1.1
	"Alabama"	"01"	"2012"	"2012"	"All other alcohol-induced causes"	"A9"	439	4822023	9.1
	"Alabama"	"01"	"2012"	"2012"	"All other non-drug and non-alcohol causes"	"O9"	49190	4822023	1020.1
	"Alabama"	"01"	"2013"	"2013"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	554	4833722	11.5
	"Alabama"	"01"	"2013"	"2013"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	45	4833722	0.9
	"Alabama"	"01"	"2013"	"2013"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	39	4833722	0.8
	"Alabama"	"01"	"2013"	"2013"	"All other drug-induced causes"	"D9"	637	4833722	13.2
	"Alabama"	"01"	"2013"	"2013"	"Alcohol poisonings (overdose) (X45, X65, Y15)"	"A1"	68	4833722	1.4
	"Alabama"	"01"	"2013"	"2013"	"All other alcohol-induced causes"	"A9"	425	4833722	8.8
	"Alabama"	"01"	"2013"	"2013"	"All other non-drug and non-alcohol causes"	"O9"	50101	4833722	1036.5
	"Alabama"	"01"	"2014"	"2014"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	675	4849377	13.9
	"Alabama"	"01"	"2014"	"2014"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	54	4849377	1.1
	"Alabama"	"01"	"2014"	"2014"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	35	4849377	0.7
	"Alabama"	"01"	"2014"	"2014"	"All other drug-induced causes"	"D9"	737	4849377	15.2
	"Alabama"	"01"	"2014"	"2014"	"Alcohol poisonings (overdose) (X45, X65, Y15)"	"A1"	118	4849377	2.4
	"Alabama"	"01"	"2014"	"2014"	"All other alcohol-induced causes"	"A9"	487	4849377	10.0
	"Alabama"	"01"	"2014"	"2014"	"All other non-drug and non-alcohol causes"	"O9"	50108	4849377	1033.3
	"Alabama"	"01"	"2015"	"2015"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	688	4858979	14.2
	"Alabama"	"01"	"2015"	"2015"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	46	4858979	0.9
	"Alabama"	"01"	"2015"	"2015"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	39	4858979	0.8
	"Alabama"	"01"	"2015"	"2015"	"All other drug-induced causes"	"D9"	769	4858979	15.8
	"Alabama"	"01"	"2015"	"2015"	"Alcohol poisonings (overdose) (X45, X65, Y15)"	"A1"	123	4858979	2.5
	"Alabama"	"01"	"2015"	"2015"	"All other alcohol-induced causes"	"A9"	499	4858979	10.3
	"Alabama"	"01"	"2015"	"2015"	"All other non-drug and non-alcohol causes"	"O9"	51789	4858979	1065.8
	"Alabama"	"01"	"2016"	"2016"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	716	4863300	14.7
	"Alabama"	"01"	"2016"	"2016"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	51	4863300	1.0
	"Alabama"	"01"	"2016"	"2016"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	28	4863300	0.6
	"Alabama"	"01"	"2016"	"2016"	"All other drug-induced causes"	"D9"	4089	4863300	84.1
	"Alabama"	"01"	"2016"	"2016"	"Alcohol poisonings (overdose) (X45, X65, Y15)"	"A1"	120	4863300	2.5
	"Alabama"	"01"	"2016"	"2016"	"All other alcohol-induced causes"	"A9"	593	4863300	12.2
	"Alabama"	"01"	"2016"	"2016"	"All other non-drug and non-alcohol causes"	"O9"	52297	4863300	1075.3
	"Alabama"	"01"	"2017"	"2017"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	807	4874747	16.6
	"Alabama"	"01"	"2017"	"2017"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	53	4874747	1.1
	"Alabama"	"01"	"2017"	"2017"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	34	4874747	0.7
	"Alabama"	"01"	"2017"	"2017"	"All other drug-induced causes"	"D9"	4331	4874747	88.8
	"Alabama"	"01"	"2017"	"2017"	"Alcohol poisonings (overdose) (X45, X65, Y15)"	"A1"	126	4874747	2.6
	"Alabama"	"01"	"2017"	"2017"	"All other alcohol-induced causes"	"A9"	614	4874747	12.6
	"Alabama"	"01"	"2017"	"2017"	"All other non-drug and non-alcohol causes"	"O9"	53069	4874747	1088.7
	"Alabama"	"01"	"2018"	"2018"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	729	4887871	14.9
	"Alabama"	"01"	"2018"	"2018"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	56	4887871	1.1
	"Alabama"	"01"	"2018"	"2018"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	36	4887871	0.7
	"Alabama"	"01"	"2018"	"2018"	"All other drug-induced causes"	"D9"	4410	4887871	90.2
	"Alabama"	"01"	"2018"	"2018"	"Alcohol poisonings (overdose) (X45, X65, Y15)"	"A1"	132	4887871	2.7
	"Alabama"	"01"	"2018"	"2018"	"All other alcohol-induced causes"	"A9"	613	4887871	12.5
	"Alabama"	"01"	"2018"	"2018"	"All other non-drug and non-alcohol causes"	"O9"	54168	4887871	1108.2
	"Alaska"	"02"	"1999"	"1999"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	33	624779	5.3
	"Alaska"	"02"	"1999"	"1999"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	11	624779	Unreliable
	"Alaska"	"02"	"1999"	"1999"	"All other drug-induced causes"	"D9"	73	624779	11.7
	"Alaska"	"02"	"1999"	"1999"	"Alcohol poisonings (overdose) (X45, X65, Y15)"	"A1"	28	624779	4.5
	"Alaska"	"02"	"1999"	"1999"	"All other alcohol-induced causes"	"A9"	130	624779	20.8
	"Alaska"	"02"	"1999"	"1999"	"All other non-drug and non-alcohol causes"	"O9"	2673	624779	427.8
	"Alaska"	"02"	"2000"	"2000"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	43	626932	6.9
	"Alaska"	"02"	"2000"	"2000"	"All other drug-induced causes"	"D9"	83	626932	13.2
	"Alaska"	"02"	"2000"	"2000"	"Alcohol poisonings (overdose) (X45, X65, Y15)"	"A1"	23	626932	3.7
	"Alaska"	"02"	"2000"	"2000"	"All other alcohol-induced causes"	"A9"	160	626932	25.5
	"Alaska"	"02"	"2000"	"2000"	"All other non-drug and non-alcohol causes"	"O9"	2872	626932	458.1
	"Alaska"	"02"	"2001"	"2001"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	58	633714	9.2
	"Alaska"	"02"	"2001"	"2001"	"All other drug-induced causes"	"D9"	90	633714	14.2
	"Alaska"	"02"	"2001"	"2001"	"Alcohol poisonings (overdose) (X45, X65, Y15)"	"A1"	22	633714	3.5
	"Alaska"	"02"	"2001"	"2001"	"All other alcohol-induced causes"	"A9"	184	633714	29.0
	"Alaska"	"02"	"2001"	"2001"	"All other non-drug and non-alcohol causes"	"O9"	2930	633714	462.4
	"Alaska"	"02"	"2002"	"2002"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	73	642337	11.4
	"Alaska"	"02"	"2002"	"2002"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	12	642337	Unreliable
	"Alaska"	"02"	"2002"	"2002"	"All other drug-induced causes"	"D9"	82	642337	12.8
	"Alaska"	"02"	"2002"	"2002"	"All other alcohol-induced causes"	"A9"	209	642337	32.5
	"Alaska"	"02"	"2002"	"2002"	"All other non-drug and non-alcohol causes"	"O9"	2972	642337	462.7
	"Alaska"	"02"	"2003"	"2003"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	78	648414	12.0
	"Alaska"	"02"	"2003"	"2003"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	10	648414	Unreliable
	"Alaska"	"02"	"2003"	"2003"	"All other drug-induced causes"	"D9"	71	648414	10.9
	"Alaska"	"02"	"2003"	"2003"	"All other alcohol-induced causes"	"A9"	181	648414	27.9
	"Alaska"	"02"	"2003"	"2003"	"All other non-drug and non-alcohol causes"	"O9"	3132	648414	483.0
	"Alaska"	"02"	"2004"	"2004"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	70	659286	10.6
	"Alaska"	"02"	"2004"	"2004"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	16	659286	Unreliable
	"Alaska"	"02"	"2004"	"2004"	"All other drug-induced causes"	"D9"	69	659286	10.5
	"Alaska"	"02"	"2004"	"2004"	"All other alcohol-induced causes"	"A9"	171	659286	25.9
	"Alaska"	"02"	"2004"	"2004"	"All other non-drug and non-alcohol causes"	"O9"	3006	659286	455.9
	"Alaska"	"02"	"2005"	"2005"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	69	666946	10.3
	"Alaska"	"02"	"2005"	"2005"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	10	666946	Unreliable
	"Alaska"	"02"	"2005"	"2005"	"All other drug-induced causes"	"D9"	79	666946	11.8
	"Alaska"	"02"	"2005"	"2005"	"All other alcohol-induced causes"	"A9"	162	666946	24.3
	"Alaska"	"02"	"2005"	"2005"	"All other non-drug and non-alcohol causes"	"O9"	3098	666946	464.5
	"Alaska"	"02"	"2006"	"2006"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	73	675302	10.8
	"Alaska"	"02"	"2006"	"2006"	"All other drug-induced causes"	"D9"	93	675302	13.8
	"Alaska"	"02"	"2006"	"2006"	"Alcohol poisonings (overdose) (X45, X65, Y15)"	"A1"	16	675302	Unreliable
	"Alaska"	"02"	"2006"	"2006"	"All other alcohol-induced causes"	"A9"	187	675302	27.7
	"Alaska"	"02"	"2006"	"2006"	"All other non-drug and non-alcohol causes"	"O9"	3280	675302	485.7
	"Alaska"	"02"	"2007"	"2007"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	69	680300	10.1
	"Alaska"	"02"	"2007"	"2007"	"All other drug-induced causes"	"D9"	101	680300	14.8
	"Alaska"	"02"	"2007"	"2007"	"Alcohol poisonings (overdose) (X45, X65, Y15)"	"A1"	31	680300	4.6
	"Alaska"	"02"	"2007"	"2007"	"All other alcohol-induced causes"	"A9"	205	680300	30.1
	"Alaska"	"02"	"2007"	"2007"	"All other non-drug and non-alcohol causes"	"O9"	3395	680300	499.0
	"Alaska"	"02"	"2008"	"2008"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	108	687455	15.7
	"Alaska"	"02"	"2008"	"2008"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	13	687455	Unreliable
	"Alaska"	"02"	"2008"	"2008"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	25	687455	3.6
	"Alaska"	"02"	"2008"	"2008"	"All other drug-induced causes"	"D9"	106	687455	15.4
	"Alaska"	"02"	"2008"	"2008"	"Alcohol poisonings (overdose) (X45, X65, Y15)"	"A1"	102	687455	14.8
	"Alaska"	"02"	"2008"	"2008"	"All other alcohol-induced causes"	"A9"	250	687455	36.4
	"Alaska"	"02"	"2008"	"2008"	"All other non-drug and non-alcohol causes"	"O9"	3433	687455	499.4
	"Alaska"	"02"	"2009"	"2009"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	109	698895	15.6
	"Alaska"	"02"	"2009"	"2009"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	22	698895	3.1
	"Alaska"	"02"	"2009"	"2009"	"All other drug-induced causes"	"D9"	93	698895	13.3
	"Alaska"	"02"	"2009"	"2009"	"Alcohol poisonings (overdose) (X45, X65, Y15)"	"A1"	98	698895	14.0
	"Alaska"	"02"	"2009"	"2009"	"All other alcohol-induced causes"	"A9"	232	698895	33.2
	"Alaska"	"02"	"2009"	"2009"	"All other non-drug and non-alcohol causes"	"O9"	3571	698895	510.9
	"Alaska"	"02"	"2010"	"2010"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	90	710231	12.7
	"Alaska"	"02"	"2010"	"2010"	"All other drug-induced causes"	"D9"	102	710231	14.4
	"Alaska"	"02"	"2010"	"2010"	"Alcohol poisonings (overdose) (X45, X65, Y15)"	"A1"	59	710231	8.3
	"Alaska"	"02"	"2010"	"2010"	"All other alcohol-induced causes"	"A9"	167	710231	23.5
	"Alaska"	"02"	"2010"	"2010"	"All other non-drug and non-alcohol causes"	"O9"	3688	710231	519.3
	"Alaska"	"02"	"2011"	"2011"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	106	722718	14.7
	"Alaska"	"02"	"2011"	"2011"	"All other drug-induced causes"	"D9"	150	722718	20.8
	"Alaska"	"02"	"2011"	"2011"	"Alcohol poisonings (overdose) (X45, X65, Y15)"	"A1"	64	722718	8.9
	"Alaska"	"02"	"2011"	"2011"	"All other alcohol-induced causes"	"A9"	217	722718	30.0
	"Alaska"	"02"	"2011"	"2011"	"All other non-drug and non-alcohol causes"	"O9"	3816	722718	528.0
	"Alaska"	"02"	"2012"	"2012"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	116	731449	15.9
	"Alaska"	"02"	"2012"	"2012"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	17	731449	Unreliable
	"Alaska"	"02"	"2012"	"2012"	"All other drug-induced causes"	"D9"	206	731449	28.2
	"Alaska"	"02"	"2012"	"2012"	"Alcohol poisonings (overdose) (X45, X65, Y15)"	"A1"	53	731449	7.2
	"Alaska"	"02"	"2012"	"2012"	"All other alcohol-induced causes"	"A9"	231	731449	31.6
	"Alaska"	"02"	"2012"	"2012"	"All other non-drug and non-alcohol causes"	"O9"	3876	731449	529.9
	"Alaska"	"02"	"2013"	"2013"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	95	735132	12.9
	"Alaska"	"02"	"2013"	"2013"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	13	735132	Unreliable
	"Alaska"	"02"	"2013"	"2013"	"All other drug-induced causes"	"D9"	179	735132	24.3
	"Alaska"	"02"	"2013"	"2013"	"Alcohol poisonings (overdose) (X45, X65, Y15)"	"A1"	63	735132	8.6
	"Alaska"	"02"	"2013"	"2013"	"All other alcohol-induced causes"	"A9"	211	735132	28.7
	"Alaska"	"02"	"2013"	"2013"	"All other non-drug and non-alcohol causes"	"O9"	3968	735132	539.8
	"Alaska"	"02"	"2014"	"2014"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	106	736732	14.4
	"Alaska"	"02"	"2014"	"2014"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	16	736732	Unreliable
	"Alaska"	"02"	"2014"	"2014"	"All other drug-induced causes"	"D9"	680	736732	92.3
	"Alaska"	"02"	"2014"	"2014"	"Alcohol poisonings (overdose) (X45, X65, Y15)"	"A1"	73	736732	9.9
	"Alaska"	"02"	"2014"	"2014"	"All other alcohol-induced causes"	"A9"	240	736732	32.6
	"Alaska"	"02"	"2014"	"2014"	"All other non-drug and non-alcohol causes"	"O9"	4095	736732	555.8
	"Alaska"	"02"	"2015"	"2015"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	125	738432	16.9
	"Alaska"	"02"	"2015"	"2015"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	10	738432	Unreliable
	"Alaska"	"02"	"2015"	"2015"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	10	738432	Unreliable
	"Alaska"	"02"	"2015"	"2015"	"All other drug-induced causes"	"D9"	778	738432	105.4
	"Alaska"	"02"	"2015"	"2015"	"Alcohol poisonings (overdose) (X45, X65, Y15)"	"A1"	81	738432	11.0
	"Alaska"	"02"	"2015"	"2015"	"All other alcohol-induced causes"	"A9"	275	738432	37.2
	"Alaska"	"02"	"2015"	"2015"	"All other non-drug and non-alcohol causes"	"O9"	4283	738432	580.0
	"Alaska"	"02"	"2016"	"2016"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	120	741894	16.2
	"Alaska"	"02"	"2016"	"2016"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	17	741894	Unreliable
	"Alaska"	"02"	"2016"	"2016"	"All other drug-induced causes"	"D9"	838	741894	113.0
	"Alaska"	"02"	"2016"	"2016"	"Alcohol poisonings (overdose) (X45, X65, Y15)"	"A1"	77	741894	10.4
	"Alaska"	"02"	"2016"	"2016"	"All other alcohol-induced causes"	"A9"	304	741894	41.0
	"Alaska"	"02"	"2016"	"2016"	"All other non-drug and non-alcohol causes"	"O9"	4461	741894	601.3
	"Alaska"	"02"	"2017"	"2017"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	142	739795	19.2
	"Alaska"	"02"	"2017"	"2017"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	18	739795	Unreliable
